keysCol,table,plottedPoints,straightLine,linePlacement,slope,yIntercept,slopeInterceptForm,score
42,0,0,0,0,0,0,0,0.0
291,10,5,1,1,1,1,1,100.0
524,0,0,0,0,0,0,0,0.0
734,0,0,0,0,0,0,0,0.0
790,0,0,0,0,0,0,0,0.0
833,10,5,0,0,0,0,0,43.75
855,10,5,1,1,1,1,1,100.0
1733,10,5,1,1,1,1,1,100.0
2710,0,0,0,0,0,0,0,0.0
2851,0,0,0,0,0,0,0,0.0
2873,10,5,0,0,0,0,0,43.75
2933,10,5,1,1,0,0,1,75.0
3038,10,5,0,0,0,0,0,43.75
3209,0,0,0,0,0,0,0,0.0
3246,10,5,1,1,1,1,1,100.0
3272,10,5,0,0,0,0,0,43.75
3411,0,0,0,0,0,0,0,0.0
3658,0,0,0,0,0,0,0,0.0
3738,10,5,1,1,1,1,1,100.0
3807,0,0,0,0,0,0,0,0.0
3910,0,0,0,0,0,0,0,0.0
4634,0,0,0,0,0,0,0,0.0
4677,10,0,0,0,0,0,0,12.5
4788,0,0,0,0,0,0,0,0.0
5387,0,0,0,0,0,0,0,0.0
5400,10,5,1,1,1,1,1,100.0
5631,0,0,0,0,0,0,0,0.0
6588,10,5,1,1,1,1,1,100.0
6643,0,0,0,0,0,0,0,0.0
7165,0,5,0,0,0,0,0,31.25
7198,0,0,0,0,0,0,0,0.0
7636,10,0,0,0,0,0,0,12.5
8419,10,5,1,1,1,1,1,100.0
8768,0,0,0,0,0,0,0,0.0
8792,10,5,1,1,1,1,1,100.0
8830,0,0,0,0,0,0,0,0.0
9050,10,5,0,0,0,0,0,43.75
9114,10,5,0,0,0,0,0,43.75
9152,0,0,0,0,0,0,0,0.0
9183,10,5,1,1,1,1,1,100.0
12874,10,5,1,1,1,1,1,100.0
